"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,160.547347,
2,0.008333,160.377977,
3,0.016667,159.825414,
4,0.025000,159.263682,
5,0.033333,159.211779,
6,0.041667,159.840230,
7,0.050000,160.761662,
8,0.058333,161.364705,
9,0.066667,161.354157,
10,0.075000,160.926008,
11,0.083333,160.453941,
12,0.091667,160.103379,
13,0.100000,159.798108,
14,0.108333,159.484879,
15,0.116667,159.292527,
16,0.125000,159.371562,
17,0.133333,159.649575,
18,0.141667,159.873508,
19,0.150000,159.901092,
20,0.158333,159.859218,
21,0.166667,160.004122,
22,0.175000,160.424182,
23,0.183333,160.914257,
24,0.191667,161.209548,
25,0.200000,161.254116,
26,0.208333,161.170439,
27,0.216667,161.087540,
28,0.225000,161.069604,
29,0.233333,161.136036,
30,0.241667,161.248472,
31,0.250000,161.273984,
32,0.258333,161.068599,
33,0.266667,160.669715,
34,0.275000,160.337180,
35,0.283333,160.289581,
36,0.291667,160.403603,
37,0.300000,160.300249,
38,0.308333,159.808189,
39,0.316667,159.264413,
40,0.325000,159.231763,
41,0.333333,159.905979,
42,0.341667,160.862310,
43,0.350000,161.410993,
44,0.358333,161.193606,
45,0.366667,160.437330,
46,0.375000,159.698737,
47,0.383333,159.427382,
48,0.391667,159.718320,
49,0.400000,160.340976,
50,0.408333,160.941716,
51,0.416667,161.275525,
52,0.425000,161.323900,
53,0.433333,161.232803,
54,0.441667,161.153472,
55,0.450000,161.138724,
56,0.458333,161.159368,
57,0.466667,161.176139,
58,0.475000,161.179271,
59,0.483333,161.178299,
60,0.491667,161.179890,
61,0.500000,161.183098,
62,0.508333,161.186092,
63,0.516667,161.188281,
64,0.525000,161.189376,
65,0.533333,161.193632,
66,0.541667,161.210170,
67,0.550000,161.238587,
68,0.558333,161.253540,
69,0.566667,161.216425,
70,0.575000,161.114846,
71,0.583333,160.995305,
72,0.591667,160.942837,
73,0.600000,161.002086,
74,0.608333,161.127724,
75,0.616667,161.233277,
76,0.625000,161.270887,
77,0.633333,161.254495,
78,0.641667,161.227598,
79,0.650000,161.218629,
80,0.658333,161.225290,
81,0.666667,161.233181,
82,0.675000,161.235767,
83,0.683333,161.235265,
84,0.691667,161.234227,
85,0.700000,161.232111,
86,0.708333,161.227948,
87,0.716667,161.222896,
88,0.725000,161.219829,
89,0.733333,161.221065,
90,0.741667,161.226153,
91,0.750000,161.231696,
92,0.758333,161.234069,
93,0.766667,161.233117,
94,0.775000,161.229089,
95,0.783333,161.215351,
96,0.791667,161.187355,
97,0.800000,161.168901,
98,0.808333,161.208715,
99,0.816667,161.312364,
100,0.825000,161.374457,
101,0.833333,161.232228,
102,0.841667,160.842768,
103,0.850000,160.397348,
104,0.858333,160.199917,
105,0.866667,160.397980,
106,0.875000,160.843860,
107,0.883333,161.234850,
108,0.891667,161.381833,
109,0.900000,161.328651,
110,0.908333,161.235807,
111,0.916667,161.203207,
112,0.925000,161.219322,
113,0.933333,161.233368,
114,0.941667,161.226129,
115,0.950000,161.211588,
116,0.958333,161.204692,
117,0.966667,161.206443,
118,0.975000,161.210349,
119,0.983333,161.211003,
120,0.991667,161.207704,
121,1.000000,161.204122,
122,1.008333,161.204031,
123,1.016667,161.207361,
124,1.025000,161.209772,
125,1.033333,161.205505,
126,1.041667,161.194032,
127,1.050000,161.187014,
128,1.058333,161.200999,
129,1.066667,161.232425,
130,1.075000,161.243912,
131,1.083333,161.195818,
132,1.091667,161.100222,
133,1.100000,161.027043,
134,1.108333,161.031051,
135,1.116667,161.056132,
136,1.125000,160.948578,
137,1.133333,160.632547,
138,1.141667,160.233970,
139,1.150000,159.942579,
140,1.158333,159.819738,
141,1.166667,159.817360,
142,1.175000,159.900996,
143,1.183333,160.085610,
144,1.191667,160.381298,
145,1.200000,160.729610,
146,1.208333,161.021133,
147,1.216667,161.190176,
148,1.225000,161.257487,
149,1.233333,161.281932,
150,1.241667,161.299614,
151,1.250000,161.310362,
152,1.258333,161.308363,
153,1.266667,161.302435,
154,1.275000,161.302869,
155,1.283333,161.307308,
156,1.291667,161.305591,
157,1.300000,161.293110,
158,1.308333,161.278824,
159,1.316667,161.281841,
160,1.325000,161.308618,
161,1.333333,161.325464,
162,1.341667,161.273281,
163,1.350000,161.142612,
164,1.358333,161.040181,
165,1.366667,161.113552,
166,1.375000,161.333426,
167,1.383333,161.407821,
168,1.391667,161.023978,
169,1.400000,160.199054,
170,1.408333,159.335880,
171,1.416667,158.862599,
172,1.425000,158.851585,
173,1.433333,159.036437,
174,1.441667,159.127090,
175,1.450000,159.051395,
176,1.458333,158.945287,
177,1.466667,158.997811,
178,1.475000,159.312277,
179,1.483333,159.826243,
180,1.491667,160.320109,
181,1.500000,160.575425,
182,1.508333,160.584061,
183,1.516667,160.555836,
184,1.525000,160.674251,
185,1.533333,160.889871,
186,1.541667,160.999930,
187,1.550000,160.876332,
188,1.558333,160.543235,
189,1.566667,160.093586,
190,1.575000,159.665927,
191,1.583333,159.486441,
192,1.591667,159.751784,
193,1.600000,160.372359,
194,1.608333,160.938768,
195,1.616667,161.084403,
196,1.625000,160.849712,
197,1.633333,160.573529,
198,1.641667,160.476062,
199,1.650000,160.493779,
200,1.658333,160.508903,
201,1.666667,160.565375,
202,1.675000,160.754577,
203,1.683333,160.988547,
204,1.691667,161.037931,
205,1.700000,160.804860,
206,1.708333,160.460651,
207,1.716667,160.271783,
208,1.725000,160.331641,
209,1.733333,160.485164,
210,1.741667,160.497134,
211,1.750000,160.291408,
212,1.758333,160.039125,
213,1.766667,160.002741,
214,1.775000,160.268254,
215,1.783333,160.634169,
216,1.791667,160.801375,
217,1.800000,160.696261,
218,1.808333,160.564113,
219,1.816667,160.688353,
220,1.825000,161.071337,
221,1.833333,161.455370,
222,1.841667,161.609201,
223,1.850000,161.540708,
224,1.858333,161.457137,
225,1.866667,161.541057,
226,1.875000,161.734753,
227,1.883333,161.730437,
228,1.891667,161.232107,
229,1.900000,160.284933,
230,1.908333,159.338673,
231,1.916667,158.943828,
232,1.925000,159.297642,
233,1.933333,160.055730,
234,1.941667,160.678857,
235,1.950000,160.975644,
236,1.958333,161.145251,
237,1.966667,161.378627,
238,1.975000,161.628753,
239,1.983333,161.701081,
240,1.991667,161.474169,
241,2.000000,161.042657,
242,2.008333,160.626887,
243,2.016667,160.341238,
244,2.025000,160.110137,
245,2.033333,159.804588,
246,2.041667,159.390871,
247,2.050000,158.940591,
248,2.058333,158.558822,
249,2.066667,158.344715,
250,2.075000,158.407288,
251,2.083333,158.848465,
