"ÉfÅ[É^ID","éûä‘(s)","MP joint(deg)",
1,0.000000,162.342559,
2,0.008333,162.328767,
3,0.016667,162.312723,
4,0.025000,162.297661,
5,0.033333,162.283154,
6,0.041667,162.267203,
7,0.050000,162.249182,
8,0.058333,162.231331,
9,0.066667,162.216901,
10,0.075000,162.205983,
11,0.083333,162.194584,
12,0.091667,162.181062,
13,0.100000,162.173807,
14,0.108333,162.187923,
15,0.116667,162.229505,
16,0.125000,162.284352,
17,0.133333,162.327322,
18,0.141667,162.345002,
19,0.150000,162.347462,
20,0.158333,162.356699,
21,0.166667,162.385088,
22,0.175000,162.426545,
23,0.183333,162.466278,
24,0.191667,162.494385,
25,0.200000,162.509225,
26,0.208333,162.512755,
27,0.216667,162.507750,
28,0.225000,162.499010,
29,0.233333,162.492572,
30,0.241667,162.490662,
31,0.250000,162.488387,
32,0.258333,162.477605,
33,0.266667,162.454961,
34,0.275000,162.425975,
35,0.283333,162.401218,
36,0.291667,162.388633,
37,0.300000,162.389015,
38,0.308333,162.397312,
39,0.316667,162.406815,
40,0.325000,162.412585,
41,0.333333,162.413324,
42,0.341667,162.412138,
43,0.350000,162.415286,
44,0.358333,162.428053,
45,0.366667,162.450019,
46,0.375000,162.474190,
47,0.383333,162.491768,
48,0.391667,162.498904,
49,0.400000,162.499494,
50,0.408333,162.501736,
51,0.416667,162.511762,
52,0.425000,162.529469,
53,0.433333,162.548995,
54,0.441667,162.562873,
55,0.450000,162.567095,
56,0.458333,162.563979,
57,0.466667,162.560804,
58,0.475000,162.564951,
59,0.483333,162.579210,
60,0.491667,162.600872,
61,0.500000,162.624574,
62,0.508333,162.645610,
63,0.516667,162.661236,
64,0.525000,162.670646,
65,0.533333,162.675310,
66,0.541667,162.679272,
67,0.550000,162.687561,
68,0.558333,162.702719,
69,0.566667,162.722206,
70,0.575000,162.739416,
71,0.583333,162.747904,
72,0.591667,162.745662,
73,0.600000,162.736422,
74,0.608333,162.727335,
75,0.616667,162.724677,
76,0.625000,162.730208,
77,0.633333,162.740308,
78,0.641667,162.748536,
79,0.650000,162.750014,
80,0.658333,162.744579,
81,0.666667,162.736681,
82,0.675000,162.732572,
83,0.683333,162.737089,
84,0.691667,162.751800,
85,0.700000,162.774625,
86,0.708333,162.800481,
87,0.716667,162.823025,
88,0.725000,162.837261,
89,0.733333,162.841526,
90,0.741667,162.837259,
91,0.750000,162.827090,
92,0.758333,162.813483,
93,0.766667,162.799232,
94,0.775000,162.788322,
95,0.783333,162.784831,
96,0.791667,162.789829,
97,0.800000,162.799219,
98,0.808333,162.805522,
99,0.816667,162.803075,
100,0.825000,162.792408,
101,0.833333,162.779687,
